City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
285,Gaigeturi,33.4644,126.3183,15.03,88,100,10.8,KR,1683414227
286,Dunedin,-45.8742,170.5036,14.48,99,60,4.02,NZ,1683414216
287,Nagqu Prefecture,31.5,92.0,-2.67,69,100,2.84,CN,1683414228
288,Kuala Terengganu,5.3302,103.1408,26.97,94,20,1.54,MY,1683414228
289,Dourbali,11.8091,15.8632,32.07,10,99,1.86,TD,1683414228
290,Ladysmith,48.9829,-123.8194,13.25,80,100,3.6,CA,1683414228
291,Hafnarfjordur,64.0671,-21.9377,10.93,71,75,4.12,IS,1683414228
292,Heishan,41.6892,122.1128,14.1,36,67,7.17,CN,1683414228
293,Lázaro Cárdenas,17.9583,-102.2,30.45,57,1,4.9,MX,1683414220
294,Malango,-2.9627,119.9001,20.83,95,92,0.53,ID,1683414212
295,Fale old settlement,-9.3852,-171.2468,28.96,76,6,6.38,TK,1683414227
296,Amarante do Maranhão,-5.5667,-46.7422,22.91,95,100,1.15,BR,1683414228
297,Kavieng,-2.5744,150.7967,26.92,83,94,2.65,PG,1683414222
298,San Pedro Pochutla,15.7333,-96.4667,32.06,58,62,3.14,MX,1683414228
299,Rio Verde de Mato Grosso,-18.9181,-54.8442,26.23,64,86,1.51,BR,1683414229
300,Rehoboth,-23.3167,17.0833,17.19,37,91,1.21,NA,1683414229
301,Ambon City,-3.6954,128.1814,28.86,95,40,0.51,ID,1683414229
302,Troitskaya,43.3056,44.9789,11.02,92,80,0.92,RU,1683414229
303,Gadzhiyevo,69.2551,33.3362,-5.23,96,32,2.33,RU,1683414212
304,Toamasina,-18.1667,49.3833,22.0,94,75,4.63,MG,1683414229
305,Bamboo Flat,11.7,92.7167,28.38,79,78,2.93,IN,1683414229
306,Coquimbo,-29.9533,-71.3436,14.85,77,75,2.57,CL,1683413987
307,Bumba,2.1833,22.4667,22.69,92,42,0.65,CD,1683414229
308,Rodolfo Sánchez Taboada,31.7167,-116.5667,18.39,67,13,3.13,MX,1683414229
309,Porto Velho,-8.7619,-63.9039,24.03,94,75,1.03,BR,1683414229
310,Coron,11.9986,120.2043,28.15,78,71,4.78,PH,1683414230
311,Anatoli,39.6389,20.8653,15.52,65,76,0.89,GR,1683414230
312,Kibondo,-3.5864,30.7203,16.7,92,61,1.16,TZ,1683414230
313,Stephenville,32.2207,-98.2023,29.07,64,0,3.6,US,1683414230
314,Arecibo,18.4724,-66.7157,29.83,82,16,0.89,PR,1683413978
315,Al Jawf,29.5,38.75,20.28,33,0,4.98,SA,1683414230
316,Keflavik,64.0049,-22.5624,10.95,81,75,4.12,IS,1683414212
317,Kudahuvadhoo,2.6708,72.8944,28.45,72,99,7.78,MV,1683414230
318,Xigazê,29.25,88.8833,4.08,47,0,1.41,CN,1683414230
319,I-n-Salah,27.1935,2.4607,32.12,9,77,5.55,DZ,1683414226
320,Morehead City,34.7229,-76.726,21.0,62,0,4.63,US,1683414230
321,Berdigestyakh,62.0989,126.6992,1.25,100,100,3.05,RU,1683414230
322,Ciudad Melchor Múzquiz,27.8833,-101.5167,37.49,17,84,5.7,MX,1683414231
323,Port Macquarie,-31.4333,152.9167,17.16,43,51,1.91,AU,1683414231
324,Neryungri,56.6709,124.6491,2.8,80,84,2.34,RU,1683414231
325,Enewetak,11.3474,162.3373,27.34,83,94,8.54,MH,1683414216
326,Raduzhny,62.0961,77.475,1.68,100,100,1.54,RU,1683413999
